"persid","hhid","age_band","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","TRAVYEAR","REGION","SA1_CODE_2021","participant_wt","ses"
"100397/1001",100397,"60-64 years",14,62,"male","employed","Yes",NA,"Professional","Information Media and Telecommunications",2021,"Greater Brisbane","30102101115",143.564193725586,"10"
"100397/1002",100397,"30-34 years",8,32,"male","employed","Yes",NA,"Professional","Information Media and Telecommunications",2021,"Greater Brisbane","30102101115",145.704574584961,"10"
"100400/1000",100400,"85-89 years",19,87,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31003128745",52.3616409301758,"3"
"100401/1000",100401,"45-49 years",11,47,"male","employed","Yes",NA,"Professional","Financial and Insurance Services",2021,"Greater Brisbane","30504113208",493.00732421875,"10"
"100402/1000",100402,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Information Media and Telecommunications",2021,"Greater Brisbane","30504113208",704.881958007812,"10"
"100402/1001",100402,"50-54 years",12,52,"female","employed","No",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane","30504113208",700.190185546875,"10"
"100402/1004",100402,"15-19 years",5,17,"female","employed","No","Full time","Community and Personal Service Workers","Arts and Recreation Services",2021,"Greater Brisbane","30504113208",659.454467773438,"10"
"100402/1005",100402,"15-19 years",5,17,"male","employed","No",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane","30504113208",782.303466796875,"10"
"100402/1006",100402,"15-19 years",5,17,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30504113208",782.303466796875,"10"
"100403/1000",100403,"35-39 years",9,37,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30504113208",813.797668457031,"10"
"100403/1001",100403,"35-39 years",9,37,"male","employed","Yes",NA,"Professional","Financial and Insurance Services",2021,"Greater Brisbane","30504113208",967.957153320312,"10"
"100441/1000",100441,"25-29 years",7,27,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31104157114",261.276580810547,"5"
