persid,cluster_id,household_id,participant_id,age_band,sex,year,trip_id,trip_purpose,participant_wt,trips_wt,trip_mode,trip_duration,trip_distance,day_type,trip_id_2,age_group,dist_cat
100071/1002,NA,100071,26,20-24 years,female,21,92,Work,856.685302734375,856.685302734375,car,30,7.1,weekday,1,20 to 39,6-10km
100071/1002,NA,100071,26,20-24 years,female,21,93,Work,856.685302734375,856.685302734375,car,30,7.13,weekday,2,20 to 39,6-10km
100071/1003,NA,100071,27,20-24 years,male,21,94,Work,967.1748046875,967.1748046875,car,30,10.52,weekday,1,20 to 39,>10km
100071/1003,NA,100071,27,20-24 years,male,21,95,Work,967.1748046875,967.1748046875,car,30,10.6,weekday,2,20 to 39,>10km
100089/1000,NA,100089,28,60-64 years,female,21,96,Shopping,474.000030517578,474.000030517578,pedestrian,10,0.65,weekday,1,40 to 64,<1km
100089/1000,NA,100089,28,60-64 years,female,21,97,Shopping,474.000030517578,474.000030517578,bus,30,4.36,weekday,1,40 to 64,3-5km
100089/1000,NA,100089,28,60-64 years,female,21,98,Shopping,474.000030517578,474.000030517578,pedestrian,15,0.52,weekday,1,40 to 64,<1km
100089/1000,NA,100089,28,60-64 years,female,21,99,Shopping,474.000030517578,474.000030517578,car,25,4.61,weekday,2,40 to 64,3-5km
100114/1000,NA,100114,29,55-59 years,female,21,100,Work,568.320922851562,568.320922851562,car,5,1.02,weekday,1,40 to 64,1-2km
100114/1000,NA,100114,29,55-59 years,female,21,101,Work,568.320922851562,568.320922851562,pedestrian,30,0.68,weekday,2,40 to 64,<1km
100114/1000,NA,100114,29,55-59 years,female,21,102,Other,568.320922851562,568.320922851562,car,10,4.16,weekday,3,40 to 64,3-5km
100114/1000,NA,100114,29,55-59 years,female,21,103,Other,568.320922851562,568.320922851562,car,20,4.29,weekday,4,40 to 64,3-5km
100114/1001,NA,100114,30,20-24 years,male,21,104,Work,1088.4951171875,1088.4951171875,pedestrian,5,0.37,weekday,1,20 to 39,<1km
100114/1001,NA,100114,30,20-24 years,male,21,105,Work,1088.4951171875,1088.4951171875,bus,5,1.47,weekday,1,20 to 39,1-2km
100114/1001,NA,100114,30,20-24 years,male,21,106,Work,1088.4951171875,1088.4951171875,pedestrian,5,0.27,weekday,1,20 to 39,<1km
100114/1001,NA,100114,30,20-24 years,male,21,107,Work,1088.4951171875,1088.4951171875,pedestrian,5,0.27,weekday,2,20 to 39,<1km
100114/1001,NA,100114,30,20-24 years,male,21,108,Work,1088.4951171875,1088.4951171875,bus,10,1.58,weekday,2,20 to 39,1-2km
100114/1001,NA,100114,30,20-24 years,male,21,109,Work,1088.4951171875,1088.4951171875,pedestrian,5,0.37,weekday,2,20 to 39,<1km
100116/1001,NA,100116,31,70-74 years,female,21,110,Other,171.396911621094,171.396911621094,car,25,21.92,weekday,1,65 plus,>10km
100116/1001,NA,100116,31,70-74 years,female,21,111,Other,171.396911621094,171.396911621094,car,25,21.98,weekday,2,65 plus,>10km
100123/1000,NA,100123,32,25-29 years,female,21,112,Work,1022.24871826172,1022.24871826172,pedestrian,15,0.67,weekday,1,20 to 39,<1km
100123/1000,NA,100123,32,25-29 years,female,21,113,Work,1022.24871826172,1022.24871826172,car,5,0.67,weekday,2,20 to 39,<1km
100123/1001,NA,100123,33,30-34 years,male,21,114,Work,825.542541503906,825.542541503906,pedestrian,5,0.34,weekday,1,20 to 39,<1km
100123/1001,NA,100123,33,30-34 years,male,21,115,Work,825.542541503906,825.542541503906,bus,15,1.78,weekday,1,20 to 39,1-2km
100123/1001,NA,100123,33,30-34 years,male,21,116,Work,825.542541503906,825.542541503906,pedestrian,10,0.5,weekday,1,20 to 39,<1km
100123/1001,NA,100123,33,30-34 years,male,21,117,Shopping,825.542541503906,825.542541503906,pedestrian,30,2.25,weekday,2,20 to 39,3-5km
100123/1001,NA,100123,33,30-34 years,male,21,118,Shopping,825.542541503906,825.542541503906,pedestrian,5,0.24,weekday,3,20 to 39,<1km
100123/1001,NA,100123,33,30-34 years,male,21,119,Shopping,825.542541503906,825.542541503906,bus,20,3.65,weekday,3,20 to 39,3-5km
100123/1001,NA,100123,33,30-34 years,male,21,120,Shopping,825.542541503906,825.542541503906,pedestrian,5,0.34,weekday,3,20 to 39,<1km
100132/1000,NA,100132,34,40-44 years,female,21,121,Work,533.81396484375,533.81396484375,car,20,5.04,weekday,1,40 to 64,6-10km
100132/1000,NA,100132,34,40-44 years,female,21,122,Work,533.81396484375,533.81396484375,car,15,5.3,weekday,2,40 to 64,6-10km
100132/1000,NA,100132,34,40-44 years,female,21,123,Shopping,533.81396484375,533.81396484375,pedestrian,20,0.65,weekday,3,40 to 64,<1km
100132/1000,NA,100132,34,40-44 years,female,21,124,Shopping,533.81396484375,533.81396484375,pedestrian,20,0.65,weekday,4,40 to 64,<1km
100132/1001,NA,100132,35,15-19 years,female,21,125,Leisure,423.662170410156,423.662170410156,pedestrian,30,0.87,weekday,1,15 to 19,<1km
