"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"90397/1000",NA,90397,4227,"30-34 years","female",21,14839,"Shopping",190.952270507812,190.952270507812,"car",0.0666666666666667,0.98,"weekday",4,"20 to 39","<1km","walking",0.98,0.245,0.466666666666667,1.715
"90397/1000",NA,90397,4227,"30-34 years","female",21,14840,"Other",190.952270507812,190.952270507812,"car",0.05,1.11,"weekday",5,"20 to 39","1-2km","bicycle",1.11,0.100909090909091,0.35,0.706363636363636
"90397/1000",NA,90397,4227,"30-34 years","female",21,14841,"Other",190.952270507812,190.952270507812,"car",0.0666666666666667,1.31,"weekday",6,"20 to 39","1-2km","bicycle",1.31,0.119090909090909,0.466666666666667,0.833636363636364
"90398/1000",NA,90398,4228,"35-39 years","male",21,14842,"Work",148.682647705078,148.682647705078,"car",1,47.65,"weekday",1,"20 to 39",">10km","car",47.65,1,7,7
"90398/1000",NA,90398,4228,"35-39 years","male",21,14843,"Work",148.682647705078,148.682647705078,"car",1.41666666666667,47.01,"weekday",2,"20 to 39",">10km","car",47.01,1.41666666666667,9.91666666666667,9.91666666666667
"90398/1001",NA,90398,4229,"30-34 years","female",21,14844,"Work",190.952270507812,190.952270507812,"car",0.883333333333333,25.2,"weekday",1,"20 to 39",">10km","car",25.2,0.883333333333333,6.18333333333333,6.18333333333333
"90398/1001",NA,90398,4229,"30-34 years","female",21,14845,"Work",190.952270507812,190.952270507812,"car",0.733333333333333,25.25,"weekday",2,"20 to 39",">10km","car",25.25,0.733333333333333,5.13333333333333,5.13333333333333
"90399/1000",NA,90399,4230,"25-29 years","male",21,14846,"Work",262.777618408203,262.777618408203,"car",0.5,23.64,"weekday",1,"20 to 39",">10km","car",23.64,0.5,3.5,3.5
"90399/1000",NA,90399,4230,"25-29 years","male",21,14847,"Work",262.777618408203,262.777618408203,"car",0.416666666666667,23.47,"weekday",2,"20 to 39",">10km","car",23.47,0.416666666666667,2.91666666666667,2.91666666666667
"90400/1000",NA,90400,4231,"45-49 years","male",21,14848,"Work",108.944473266602,108.944473266602,"car",1,56.43,"weekday",1,"40 to 64",">10km","car",56.43,1,7,7
"90400/1000",NA,90400,4231,"45-49 years","male",21,14849,"Leisure",108.944473266602,108.944473266602,"car",1.25,48.33,"weekday",2,"40 to 64",">10km","car",48.33,1.25,8.75,8.75
