"persid","hhid","age_band","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","TRAVYEAR","REGION","SA1_CODE_2021","participant_wt","ses","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_base","walk_scen","walk_base_min"
"100132/1001",100132,"15-19 years",5,17,"female","employed","No","Full time","Sales Workers","Retail Trade",2021,"Greater Brisbane",30501110611,423.662170410156,10,0,0,11.6666666666667,3.04,0,0,0,0,0,0,0,0,11.6666666666667,3.04,0,0,0,0,0,0,"Yes","Yes","Yes"
"100144/1000",100144,"60-64 years",14,62,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30501110611,441.761657714844,10,0,0,7.58333333333333,2.1,1.16666666666667,1.15,0,0,0,0,0,0,7.58333333333333,2.1,1.16666666666667,1.15,0,0,0,0,"Yes","Yes","Yes"
"100146/1000",100146,"35-39 years",9,37,"female","employed","Yes",NA,"Clerical and Administrative Worker","Manufacturing",2021,"Greater Brisbane",30501110611,522.818908691406,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100146/1001",100146,"45-49 years",11,47,"male","employed","Yes",NA,"Managers","Manufacturing",2021,"Greater Brisbane",30501110611,455.289733886719,10,8.16666666666667,26.98,0,0,0,0,0,0,0,0,8.16666666666667,26.98,0,0,0,0,0,0,0,0,"No","No","No"
"100157/1000",100157,"45-49 years",11,47,"male","employed","Yes",NA,"Professional","Education and Training",2021,"Greater Brisbane",30102101115,167.788757324219,10,8.16666666666667,34.57,0,0,0,0,0,0,0,0,6.06666666666667,29.04,0,0,0,0,0,0,3.51909090909091,5.53,"No","No","No"
"100157/1001",100157,"45-49 years",11,47,"female","employed","Yes",NA,"Professional","Education and Training",2021,"Greater Brisbane",30102101115,163.545227050781,10,12.8333333333333,54.73,0,0,0,0,0,0,0,0,10.5,46.87,0,0,0,0,0,0,5.00181818181818,7.86,"No","No","No"
"100157/1004",100157,"75-79 years",17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30102101115,149.016342163086,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100157/1005",100157,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30102101115,158.734878540039,10,12.8333333333333,34.63,0,0,0,0,0,0,0,0,5.83333333333333,16.86,0,0,0,0,0,0,11.3081818181818,17.77,"No","No","No"
"100158/1000",100158,"55-59 years",13,57,"male","employed","Yes",NA,"Managers","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30102101115,132.476211547852,10,5.83333333333333,23.49,0,0,0,0,0,0,0,0,0,0,3.15,1.8,0,0,0,0,13.8027272727273,21.69,"No","Yes","No"
"100158/1001",100158,"40-44 years",10,42,"female","employed","No",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30102101115,119.332992553711,10,5.83333333333333,23.49,0,0,0,0,0,0,1.16666666666667,3.34,0,0,3.15,1.8,0,0,0,0,14.9693939393939,25.03,"No","Yes","No"
"100159/1000",100159,"60-64 years",14,62,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30102101115,93.5367965698242,10,0,0,2.91666666666667,0.7,0,0,0,0,0,0,0,0,2.91666666666667,0.7,0,0,0,0,0,0,"Yes","Yes","Yes"
"100159/1001",100159,"55-59 years",13,57,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30102101115,94.9781875610352,10,0,0,2.91666666666667,0.7,0,0,0,0,0,0,0,0,2.91666666666667,0.7,0,0,0,0,0,0,"Yes","Yes","Yes"
"100181/1000",100181,"45-49 years",11,47,"female","employed","Yes",NA,"Managers","Arts and Recreation Services",2021,"Greater Brisbane",30501110611,544.801513671875,10,5.48333333333333,12.13,0,0,0,0,0,0,0,0,0,0,4.62,2.64,0,0,0,0,6.03909090909091,9.49,"No","Yes","No"
"100181/1001",100181,"45-49 years",11,47,"male","employed","Yes",NA,"Technicians and Trades Worker","Construction",2021,"Greater Brisbane",30501110611,455.289733886719,10,4.66666666666667,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93545454545455,12.47,"No","No","No"
"100182/1000",100182,"40-44 years",10,42,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31004130208,122.080093383789,1,4.66666666666667,6.16,0,0,0,0,0,0,0,0,0,0,10.78,6.16,0,0,0,0,0,0,"No","Yes","No"
"100182/1001",100182,"35-39 years",9,37,"female","employed","Yes",NA,"Clerical and Administrative Worker","Administrative and Support Services",2021,"Greater Brisbane",31004130208,126.796051025391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100184/1000",100184,"25-29 years",7,27,"male","employed","No",NA,"Community and Personal Service Workers","Health Care and Social Assistance",2021,"Greater Brisbane",31004130208,228.088623046875,1,3.5,17.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3718181818182,17.87,"No","No","No"
"100184/1001",100184,"50-54 years",12,52,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31004130208,170.989166259766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100184/1002",100184,"20-24 years",6,22,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31004130208,233.046676635742,1,0,0,4.66666666666667,2.44,0,0,0,0,0,0,0,0,4.66666666666667,2.44,0,0,0,0,0,0,"Yes","Yes","Yes"
"100187/1000",100187,"30-34 years",8,32,"male","employed","No",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane",31004130208,142.32405090332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100190/1000",100190,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31004130208,170.002777099609,1,0,0,4.66666666666667,2.96,0,0,0,0,0,0,0,0,4.66666666666667,2.96,0,0,0,0,0,0,"Yes","Yes","Yes"
"100190/1001",100190,"55-59 years",13,57,"male","employed","Yes",NA,"Clerical and Administrative Worker","Transport, Postal and Warehousing",2021,"Greater Brisbane",31004130208,159.136917114258,1,4.08333333333333,23.8,0,0,0,0,0,0,0,0,4.08333333333333,23.8,0,0,0,0,0,0,0,0,"No","No","No"
"100364/1000",100364,"30-34 years",8,32,"male","employed","No",NA,"Labourers","Other Services",2021,"Greater Brisbane",31106133231,139.366546630859,5,7.58333333333333,20.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9118181818182,20.29,"No","No","No"
"100364/1001",100364,"35-39 years",9,37,"female","employed","Yes",NA,"Labourers","Other Services",2021,"Greater Brisbane",31106133231,140.541229248047,5,8.16666666666667,49.27,0,0,0,0,0,0,0,0,8.16666666666667,49.27,0,0,0,0,0,0,0,0,"No","No","No"
"100365/1000",100365,"50-54 years",12,52,"female","employed","No",NA,"Community and Personal Service Workers","Education and Training",2021,"Greater Brisbane",30102101115,69.2914581298828,10,0,0,5.71666666666667,2.96,0,0,0,0,0,0,0,0,5.71666666666667,2.96,0,0,0,0,0,0,"Yes","Yes","Yes"
"100365/1001",100365,"50-54 years",12,52,"male","employed","Yes",NA,"Managers","Electricity, Gas, Water and Waste Services",2021,"Greater Brisbane",30102101115,76.2739486694336,10,7,33.22,0,0,0,0,0,0,0,0,6.3,31.44,3.115,1.78,0,0,0,0,0,0,"No","Yes","No"
"100367/1000",100367,"50-54 years",12,52,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30102101115,135.186767578125,10,1.75,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42181818181818,8.52,"No","No","No"
"100367/1001",100367,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30102101115,148.809509277344,10,21,122.31,0,0,0,0,0,0,0,0,21,122.31,0,0,0,0,0,0,0,0,"No","No","No"
"100367/1002",100367,"20-24 years",6,22,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30102101115,228.728454589844,10,17.5,73.01,0,0,0,0,0,0,0,0,11.3166666666667,52.62,1.2425,0.71,0,0,0,0,12.5236363636364,19.68,"No","Yes","No"
"100367/1003",100367,"20-24 years",6,22,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30102101115,228.728454589844,10,11.55,52.75,0,0,0,0,0,0,0,0,11.3166666666667,52.42,0.5775,0.33,0,0,0,0,0,0,"No","Yes","No"
"100367/1004",100367,"20-24 years",6,22,"female","employed","No","Part time","Sales Workers","Retail Trade",2021,"Greater Brisbane",30102101115,178.773422241211,10,5.83333333333333,25.44,0,0,0,0,0,0,0,0,5.83333333333333,25.44,0,0,0,0,0,0,0,0,"No","No","No"
"100371/1000",100371,"25-29 years",7,27,"male","employed","Yes",NA,"Professional","Financial and Insurance Services",2021,"Greater Brisbane",30501110611,1189.41027832031,10,0,0,9.33333333333333,2.93,1.75,1.88,0,0,0,0,0,0,9.33333333333333,2.93,1.75,1.88,0,0,0,0,"Yes","Yes","Yes"
"100371/1001",100371,"25-29 years",7,27,"female","employed","Yes",NA,"Managers","Transport, Postal and Warehousing",2021,"Greater Brisbane",30501110611,1240.35559082031,10,2.33333333333333,4.48,3.61666666666667,2.18,1.63333333333333,4.8,0,0,0,0,0,0,3.61666666666667,2.18,1.63333333333333,4.8,0,0,2.85090909090909,4.48,"Yes","Yes","Yes"
"100371/1002",100371,"25-29 years",7,27,"female","employed","Yes",NA,"Clerical and Administrative Worker","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30501110611,1240.35559082031,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100375/1000",100375,"50-54 years",12,52,"male","employed","Yes",NA,NA,"Public Administration and Safety",2021,"Greater Brisbane",31106133231,145.04621887207,5,4.08333333333333,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70454545454545,4.25,"No","No","No"
"100376/1000",100376,"20-24 years",6,22,"female","employed","Yes",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane",31106133231,143.811325073242,5,5.83333333333333,25.43,0,0,0,0,0,0,0,0,5.83333333333333,25.43,0,0,0,0,0,0,0,0,"No","No","No"
"100376/1001",100376,"20-24 years",6,22,"male","employed","Yes",NA,"Managers","Wholesale Trade",2021,"Greater Brisbane",31106133231,135.873886108398,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100377/1000",100377,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30501110611,474.000030517578,10,8.16666666666667,17,0,0,0,0,0,0,0,0,0,0,3.36,1.92,0,0,0,0,9.59636363636364,15.08,"No","Yes","No"
"100383/1000",100383,"65-69 years",15,67,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30501110611,380.566589355469,10,0,0,5.25,2.79,2.1,3.49,0,0,5.6,4.65,0,0,5.25,2.79,2.1,3.49,0,0,5.6,4.65,"Yes","Yes","Yes"
"100388/1000",100388,"20-24 years",6,22,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30501110611,897.091674804688,10,0,0,6.76666666666667,3.49,8.75,23.73,0,0,0,0,0,0,6.76666666666667,3.49,8.75,23.73,0,0,0,0,"Yes","Yes","Yes"
"100388/1001",100388,"20-24 years",6,22,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30501110611,897.091674804688,10,0,0,2.33333333333333,1.04,0,0,0,0,0,0,0,0,2.33333333333333,1.04,0,0,0,0,0,0,"Yes","Yes","Yes"
"100393/1000",100393,"50-54 years",12,52,"male","employed","Yes",NA,"Labourers","Manufacturing",2021,"Greater Brisbane",31004130208,228.976974487305,1,13.1833333333333,51.39,0,0,0,0,0,0,0,0,10.0333333333333,42.97,10.255,5.86,0,0,0,0,1.62909090909091,2.56,"No","Yes","No"
"100393/1001",100393,"45-49 years",11,47,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31004130208,197.133209228516,1,10.0333333333333,32.52,0,0,0,0,0,0,0,0,7.7,27.12,4.97,2.84,0,0,0,0,1.62909090909091,2.56,"No","Yes","No"
"100393/1002",100393,"15-19 years",5,17,"female","employed","No",NA,"Community and Personal Service Workers","Retail Trade",2021,"Greater Brisbane",31004130208,215.904037475586,1,10.0333333333333,32.52,0,0,0,0,0,0,0,0,7.7,27.12,4.97,2.84,0,0,0,0,1.62909090909091,2.56,"No","Yes","No"
"100393/1003",100393,"15-19 years",5,17,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31004130208,203.738250732422,1,0.816666666666667,3.02,0,0,0,0,0,0,0,0,0,0,5.285,3.02,0,0,0,0,0,0,"No","Yes","No"
